DateAndTime            ,Date            ,Time        ,TOTAL_FBC               
2022-11-16 02:16:26.000,      2022-11-16,02:16:26    ,                   715.0
2022-11-16 02:15:26.000,      2022-11-16,02:15:26    ,                   710.0
2022-11-16 02:14:26.000,      2022-11-16,02:14:26    ,                   708.0
2022-11-16 02:13:26.000,      2022-11-16,02:13:26    ,                   707.0
2022-11-16 02:12:26.000,      2022-11-16,02:12:26    ,                   702.0
2022-11-16 02:11:26.000,      2022-11-16,02:11:26    ,                   700.0
2022-11-16 02:10:26.000,      2022-11-16,02:10:26    ,                   698.0
2022-11-16 02:09:26.000,      2022-11-16,02:09:26    ,                   696.0
2022-11-16 02:08:26.000,      2022-11-16,02:08:26    ,                   692.0
2022-11-16 02:07:26.000,      2022-11-16,02:07:26    ,                   692.0
2022-11-16 02:06:26.000,      2022-11-16,02:06:26    ,                   690.0
2022-11-16 02:05:26.000,      2022-11-16,02:05:26    ,                   688.0
2022-11-16 02:04:26.000,      2022-11-16,02:04:26    ,                   685.0
2022-11-16 02:03:26.000,      2022-11-16,02:03:26    ,                   681.0
2022-11-16 02:02:26.000,      2022-11-16,02:02:26    ,                   679.0
2022-11-16 02:01:26.000,      2022-11-16,02:01:26    ,                   677.0
2022-11-16 02:00:26.000,      2022-11-16,02:00:26    ,                   673.0
2022-11-16 01:59:26.000,      2022-11-16,01:59:26    ,                   668.0
2022-11-16 01:58:26.000,      2022-11-16,01:58:26    ,                   665.0
2022-11-16 01:57:26.000,      2022-11-16,01:57:26    ,                   660.0
2022-11-16 01:56:26.000,      2022-11-16,01:56:26    ,                   657.0
2022-11-16 01:55:26.000,      2022-11-16,01:55:26    ,                   655.0
2022-11-16 01:54:26.000,      2022-11-16,01:54:26    ,                   654.0
2022-11-16 01:53:26.000,      2022-11-16,01:53:26    ,                   650.0
2022-11-16 01:52:26.000,      2022-11-16,01:52:26    ,                   645.0
2022-11-16 01:51:26.000,      2022-11-16,01:51:26    ,                   641.0
2022-11-16 01:50:26.000,      2022-11-16,01:50:26    ,                   637.0
2022-11-16 01:49:26.000,      2022-11-16,01:49:26    ,                   636.0
2022-11-16 01:48:26.000,      2022-11-16,01:48:26    ,                   634.0
2022-11-16 01:47:26.000,      2022-11-16,01:47:26    ,                   630.0
2022-11-16 01:46:26.000,      2022-11-16,01:46:26    ,                   628.0
